Année;Perimètre juridique;Perimètre spatial;Spatial perimeter;Indicateur;Indicator;Type de contrat;Type of contract;Collège;Employee category;Genre;Gender;Valeur;Unité;Unit;Chapitre du bilan social
2022;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Statutaires;Statutory;Cadre;Managers;;;311234.0;heures;hours;§1.8.6
2022;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Non Statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;0.0;heures;hours;§1.8.6
2022;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Maîtrise;Supervisors;Femme;Female;87925.0;heures;hours;§1.8.7
2022;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;Homme;Male;1894.0;heures;hours;§1.8.7
2022;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;Homme;Male;72.0;heures;hours;§1.8.7
2022;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Exécution;Operatives;Femme;Female;0.0;heures;hours;§1.8.7
2022;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Cadre;Managers;Homme;Male;696819.0;heures;hours;§1.8.3
2022;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;Femme;Female;12994.0;heures;hours;§1.8.3
2022;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;Homme;Male;272.0;heures;hours;§1.8.3
2022;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Fixed-term non-statutory;Maîtrise;Supervisors;Femme;Female;2825.0;heures;hours;§1.8.3
2022;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Statutaires;Statutory;Exécution;Operatives;;;31882.0;heures;hours;§1.8.6
2022;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;;;7932.0;heures;hours;§1.8.6
2022;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Non Statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;0.0;heures;hours;§1.8.6
2022;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;;;1239.0;heures;hours;§1.8.6
2022;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;0.0;heures;hours;§1.8.6
2022;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Cadre;Managers;Femme;Female;90000.0;heures;hours;§1.8.7
2022;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Maîtrise;Supervisors;Homme;Male;200884.0;heures;hours;§1.8.7
2022;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Cadre;Managers;Femme;Female;575088.0;heures;hours;§1.8.3
2022;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Maîtrise;Supervisors;Homme;Male;1350518.0;heures;hours;§1.8.3
2022;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Maîtrise;Supervisors;Femme;Female;927417.0;heures;hours;§1.8.3
2022;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Exécution;Operatives;Homme;Male;230921.0;heures;hours;§1.8.3
2022;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Exécution;Operatives;Femme;Female;270669.0;heures;hours;§1.8.3
2022;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Fixed-term non-statutory;Exécution;Operatives;Homme;Male;0.0;heures;hours;§1.8.3
2022;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Statutaires;Statutory;Cadre;Managers;;;111182.0;heures;hours;§1.8.6
2022;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Cadre;Managers;Homme;Male;145781.0;heures;hours;§1.8.7
2022;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;Femme;Female;2256.0;heures;hours;§1.8.7
2022;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;Femme;Female;82.0;heures;hours;§1.8.7
2022;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;0.0;heures;hours;§1.8.6
2022;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Statutaires;Statutory;Maîtrise;Supervisors;;;133970.0;heures;hours;§1.8.6
2022;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Exécution;Operatives;Homme;Male;20837.0;heures;hours;§1.8.7
2022;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Exécution;Operatives;Femme;Female;16901.0;heures;hours;§1.8.7
2022;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;Homme;Male;11210.0;heures;hours;§1.8.3
2022;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Fixed-term non-statutory;Exécution;Operatives;Femme;Female;0.0;heures;hours;§1.8.3
2022;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Statutaires;Statutory;Maîtrise;Supervisors;;;176515.0;heures;hours;§1.8.6
2022;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Statutaires;Statutory;Exécution;Operatives;;;14345.0;heures;hours;§1.8.6
2022;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Exécution;Operatives;Homme;Male;0.0;heures;hours;§1.8.7
2021;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Maîtrise;Supervisors;Homme;Male;1200336.0;heures;hours;§1.8.3
2021;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Exécution;Operatives;Homme;Male;206512.0;heures;hours;§1.8.3
2021;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;0.0;heures;hours;§1.8.6
2021;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;0.0;heures;hours;§1.8.6
2021;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Maîtrise;Supervisors;Femme;Female;92996.0;heures;hours;§1.8.7
2021;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;Femme;Female;2276.0;heures;hours;§1.8.7
2021;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;Femme;Female;26.0;heures;hours;§1.8.7
2021;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Exécution;Operatives;Femme;Female;308197.0;heures;hours;§1.8.3
2021;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;;;7539.0;heures;hours;§1.8.6
2021;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Non Statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;0.0;heures;hours;§1.8.6
2021;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Statutaires;Statutory;Maîtrise;Supervisors;;;93814.0;heures;hours;§1.8.6
2021;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Exécution;Operatives;Homme;Male;22094.0;heures;hours;§1.8.7
2021;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;Homme;Male;30.0;heures;hours;§1.8.7
2021;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Exécution;Operatives;Femme;Female;0.0;heures;hours;§1.8.7
2021;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;Femme;Female;9169.0;heures;hours;§1.8.3
2021;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Statutaires;Statutory;Exécution;Operatives;;;44338.0;heures;hours;§1.8.6
2021;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Statutaires;Statutory;Cadre;Managers;;;88303.0;heures;hours;§1.8.6
2021;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Maîtrise;Supervisors;Homme;Male;195603.0;heures;hours;§1.8.7
2021;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Exécution;Operatives;Femme;Female;19310.0;heures;hours;§1.8.7
2021;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Exécution;Operatives;Homme;Male;0.0;heures;hours;§1.8.7
2021;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Cadre;Managers;Homme;Male;609194.0;heures;hours;§1.8.3
2021;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Fixed-term non-statutory;Maîtrise;Supervisors;Femme;Female;2325.0;heures;hours;§1.8.3
2021;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Fixed-term non-statutory;Exécution;Operatives;Homme;Male;0.0;heures;hours;§1.8.3
2021;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Fixed-term non-statutory;Exécution;Operatives;Femme;Female;0.0;heures;hours;§1.8.3
2021;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Statutaires;Statutory;Cadre;Managers;;;303498.0;heures;hours;§1.8.6
2021;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Statutaires;Statutory;Maîtrise;Supervisors;;;204612.0;heures;hours;§1.8.6
2021;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Cadre;Managers;Homme;Male;147575.0;heures;hours;§1.8.7
2021;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;Homme;Male;1772.0;heures;hours;§1.8.7
2021;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Cadre;Managers;Femme;Female;524325.0;heures;hours;§1.8.3
2021;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Maîtrise;Supervisors;Femme;Female;907171.0;heures;hours;§1.8.3
2021;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;Homme;Male;7522.0;heures;hours;§1.8.3
2021;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;Homme;Male;0.0;heures;hours;§1.8.3
2021;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Statutaires;Statutory;Exécution;Operatives;;;11650.0;heures;hours;§1.8.6
2021;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;;;791.0;heures;hours;§1.8.6
2021;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Non Statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;0.0;heures;hours;§1.8.6
2021;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Cadre;Managers;Femme;Female;91113.0;heures;hours;§1.8.7
2020;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Cadre;Managers;Homme;Male;601415.0;heures;hours;§1.8.3
2020;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Maîtrise;Supervisors;Homme;Male;1166190.0;heures;hours;§1.8.3
2020;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;Homme;Male;75.0;heures;hours;§1.8.3
2020;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Fixed-term non-statutory;Maîtrise;Supervisors;Femme;Female;3636.0;heures;hours;§1.8.3
2020;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Statutaires;Statutory;Cadre;Managers;;;337576.0;heures;hours;§1.8.6
2020;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Non Statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;0.0;heures;hours;§1.8.6
2020;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Cadre;Managers;Homme;Male;145590.0;heures;hours;§1.8.7
2020;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Maîtrise;Supervisors;Homme;Male;180885.0;heures;hours;§1.8.7
2020;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;Femme;Female;1824.0;heures;hours;§1.8.7
2020;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;Femme;Female;26.0;heures;hours;§1.8.7
2020;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Exécution;Operatives;Homme;Male;200099.0;heures;hours;§1.8.3
2020;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Statutaires;Statutory;Maîtrise;Supervisors;;;198842.0;heures;hours;§1.8.6
2020;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Statutaires;Statutory;Cadre;Managers;;;60772.0;heures;hours;§1.8.6
2020;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Maîtrise;Supervisors;Femme;Female;91574.0;heures;hours;§1.8.7
2020;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Exécution;Operatives;Femme;Female;19805.0;heures;hours;§1.8.7
2020;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;Homme;Male;1421.0;heures;hours;§1.8.7
2020;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Cadre;Managers;Femme;Female;472401.0;heures;hours;§1.8.3
2020;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Exécution;Operatives;Femme;Female;273955.0;heures;hours;§1.8.3
2020;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Fixed-term non-statutory;Exécution;Operatives;Femme;Female;227.0;heures;hours;§1.8.3
2020;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;;;866.0;heures;hours;§1.8.6
2020;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Cadre;Managers;Femme;Female;90218.0;heures;hours;§1.8.7
2020;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Statutaires;Statutory;Maîtrise;Supervisors;Femme;Female;883276.0;heures;hours;§1.8.3
2020;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;Femme;Female;10327.0;heures;hours;§1.8.3
2020;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Fixed-term non-statutory;Exécution;Operatives;Homme;Male;0.0;heures;hours;§1.8.3
2020;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;;;6161.0;heures;hours;§1.8.6
2020;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;0.0;heures;hours;§1.8.6
2020;EDF SA;France;France;Absence pour congé de paternité et d'accueil de l'enfant;Absence for Paternity and Childcare Leave;Non Statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;0.0;heures;hours;§1.8.6
2020;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Statutaires;Statutory;Exécution;Operatives;Homme;Male;21209.0;heures;hours;§1.8.7
2020;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Exécution;Operatives;Homme;Male;0.0;heures;hours;§1.8.7
2020;EDF SA;France;France;Absence pour congés autorisés;Absence for Authorized Leave (Family Events, Mother’s Leave, Special Leave, etc.);Non Statutaires CDI;Permanent non-staturory;Exécution;Operatives;Femme;Female;0.0;heures;hours;§1.8.7
2020;EDF SA;France;France;Absence pour maladie;Absence Due to Illness;Non Statutaires CDI;Permanent non-staturory;Cadre;Managers;Homme;Male;8551.0;heures;hours;§1.8.3
2020;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Statutaires;Statutory;Exécution;Operatives;;;44209.0;heures;hours;§1.8.6
2020;EDF SA;France;France;Absence pour congé de maternité ou d'adoption;Absence for Maternity or Adoption Leave;Non Statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;552.0;heures;hours;§1.8.6
