Année;Perimètre juridique;Perimètre spatial;Spatial perimeter;Indicateur;Indicator;Type de contrat;Type of contract;Collège;Employee category;Sous-catégorie collège;Employee subcategory;Genre;Gender;Plage M3E;M3E classification;Nationalité;Nationality;Ancienneté;Seniority;Tranche d'âge;Age bracket;Valeur;Unité;Unit;Chapitre du bilan social
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Maîtrise;Supervisors;;;Femme;Female;;;;;De 15 à moins de 20 ans;From 15 to less than 20 years;;;889.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Homme;Male;;;;;De 15 à moins de 20 ans;From 15 to less than 20 years;;;14.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Homme;Male;;;;;De 15 à moins de 20 ans;From 15 to less than 20 years;;;0.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Cadre;Managers;;;Femme;Female;;;;;De 20 à moins de 25 ans;From 20 to less than 25 years;;;1894.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Maîtrise;Supervisors;;;Femme;Female;;;;;De 20 à moins de 25 ans;From 20 to less than 25 years;;;1231.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Homme;Male;;;;;De 20 à moins de 25 ans;From 20 to less than 25 years;;;8.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;Femme;Female;;;;;De 20 à moins de 25 ans;From 20 to less than 25 years;;;1.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Exécution;Operatives;;;Homme;Male;;;;;De 25 à moins de 30 ans;From 25 to less than 30 years;;;35.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Homme;Male;;;;;De 25 à moins de 30 ans;From 25 to less than 30 years;;;10.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Femme;Female;;;;;De 25 à moins de 30 ans;From 25 to less than 30 years;;;6.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Homme;Male;;;;;De 25 à moins de 30 ans;From 25 to less than 30 years;;;1.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Exécution;Operatives;;;Femme;Female;;;;;De 30 à moins de 35 ans;From 30 to less than 35 years;;;10.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;Femme;Female;;;;;De 30 à moins de 35 ans;From 30 to less than 35 years;;;0.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Homme;Male;;;;;35 ans et plus;35 years and more;;;0.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;Homme;Male;;;;;35 ans et plus;35 years and more;;;0.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Cadre;Managers;;;Homme;Male;;;Française;French;;;;;20847.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;Homme;Male;;;Française;French;;;;;0.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Exécution;Operatives;;;Homme;Male;;;Française;French;;;;;1266.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Maîtrise;Supervisors;;;Homme;Male;;;Etrangère;Foreigner;;;;;74.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Maîtrise;Supervisors;;;Femme;Female;;;Etrangère;Foreigner;;;;;36.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Exécution;Operatives;;;Homme;Male;;;Etrangère;Foreigner;;;;;16.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Homme;Male;;;Etrangère;Foreigner;;;;;30.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Femme;Female;;;Etrangère;Foreigner;;;;;24.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Cadre;Managers;;;Homme;Male;;;Etrangère;Foreigner;;;;;30.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Exécution;Operatives;;;Femme;Female;;;Etrangère;Foreigner;;;;;35.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Cadre;Managers;Cadres;Managers;Homme;Male;;;;;;;;;20685.0;nombre;number;§1.1.9
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;Cadres Dirigeants;Executive Managers;Homme;Male;;;;;;;;;61.0;nombre;number;§1.1.9
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;Cadres;Managers;Homme;Male;;;;;;;;;371.0;nombre;number;§1.1.9
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Exécution;Operatives;Employés;Employees;Homme;Male;;;;;;;;;177.0;nombre;number;§1.1.9
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Cadre;Managers;Cadres Dirigeants;Executive Managers;Femme;Female;;;;;;;;;113.0;nombre;number;§1.1.9
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;Cadres;Managers;Femme;Female;;;;;;;;;281.0;nombre;number;§1.1.9
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Exécution;Operatives;Ouvriers;Laborers;Femme;Female;;;;;;;;;2.0;nombre;number;§1.1.9
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Maîtrise;Supervisors;Maîtrise;Supervisors;Femme;Female;;;;;;;;;898.0;nombre;number;§1.1.9
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;;;;;Homme;Male;A;A;;;;;;;1846.0;nombre;number;§1.1.9bis
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;;;;;Homme;Male;E;E;;;;;;;3601.0;nombre;number;§1.1.9bis
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;;;;;Homme;Male;G;G;;;;;;;7008.0;nombre;number;§1.1.9bis
2023;EDF SA;France;France;Embauches de salariés de moins de 25 ans;Hires of Employees Under 25 Years Old;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Homme;Male;;;;;;;;;1.0;nombre;number;§1.3.3
2023;EDF SA;France;France;Embauches de salariés de moins de 25 ans;Hires of Employees Under 25 Years Old;Non statutaires CDD;Fixed-term non-statutory;Cadre;Managers;;;Homme;Male;;;;;;;;;38.0;nombre;number;§1.3.3
2023;EDF SA;France;France;Embauches de salariés de moins de 25 ans;Hires of Employees Under 25 Years Old;Non statutaires CDD;Fixed-term non-statutory;Cadre;Managers;;;Femme;Female;;;;;;;;;22.0;nombre;number;§1.3.3
2023;EDF SA;France;France;Démissions;Resignations;Statutaires;Statutory;Cadre;Managers;;;Femme;Female;;;;;;;;;59.0;nombre;number;§1.4.2
2023;EDF SA;France;France;Démissions;Resignations;Statutaires;Statutory;Maîtrise;Supervisors;;;Homme;Male;;;;;;;;;76.0;nombre;number;§1.4.2
2023;EDF SA;France;France;Démissions;Resignations;Non statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;Homme;Male;;;;;;;;;0.0;nombre;number;§1.4.2
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Femme;Female;;;;;;;Moins de 25 ans;Less than 25;2.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Homme;Male;;;;;;;Moins de 25 ans;Less than 25;1.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;Femme;Female;;;;;;;Moins de 25 ans;Less than 25;0.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Cadre;Managers;;;Homme;Male;;;;;;;Moins de 25 ans;Less than 25;33.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Cadre;Managers;;;Homme;Male;;;;;;;De 25 à 35 ans;From 25 to 35;4263.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Maîtrise;Supervisors;;;Femme;Female;;;;;;;De 25 à 35 ans;From 25 to 35;1529.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Homme;Male;;;;;;;De 25 à 35 ans;From 25 to 35;2.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Maîtrise;Supervisors;;;Homme;Male;;;;;;;De 25 à 35 ans;From 25 to 35;182.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Exécution;Operatives;;;Homme;Male;;;;;;;De 25 à 35 ans;From 25 to 35;77.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Maîtrise;Supervisors;;;Femme;Female;;;;;;;De 36 à 45 ans;From 36 to 45;2235.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Cadre;Managers;;;Femme;Female;;;;;;;De 36 à 45 ans;From 36 to 45;0.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Maîtrise;Supervisors;;;Femme;Female;;;;;;;De 36 à 45 ans;From 36 to 45;8.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Exécution;Operatives;;;Femme;Female;;;;;;;De 36 à 45 ans;From 36 to 45;6.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Cadre;Managers;;;Homme;Male;;;;;;;De 46 à 55 ans;From 46 to 55;6860.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Exécution;Operatives;;;Homme;Male;;;;;;;De 46 à 55 ans;From 46 to 55;250.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Homme;Male;;;;;;;De 46 à 55 ans;From 46 to 55;127.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Femme;Female;;;;;;;De 46 à 55 ans;From 46 to 55;92.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Maîtrise;Supervisors;;;Femme;Female;;;;;;;De 46 à 55 ans;From 46 to 55;2.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Cadre;Managers;;;Femme;Female;;;;;;;De 56 à 60 ans;From 56 to 60;967.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Exécution;Operatives;;;Femme;Female;;;;;;;De 56 à 60 ans;From 56 to 60;23.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Maîtrise;Supervisors;;;Homme;Male;;;;;;;61 ans et plus;61 and more;254.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Femme;Female;;;;;;;61 ans et plus;61 and more;25.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Femme;Female;;;;;;;61 ans et plus;61 and more;2.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Exécution;Operatives;;;Homme;Male;;;;;;;61 ans et plus;61 and more;2.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Exécution;Operatives;;;Femme;Female;;;;;;;61 ans et plus;61 and more;12.0;nombre;number;§1.1.6
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Cadre;Managers;;;Femme;Female;;;;;Moins de 5 ans;Less than 5 years;;;1365.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Homme;Male;;;;;Moins de 5 ans;Less than 5 years;;;332.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Femme;Female;;;;;Moins de 5 ans;Less than 5 years;;;13.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Homme;Male;;;;;De 5 à moins de 10 ans;From 5 to less than 10 years;;;98.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Femme;Female;;;;;De 5 à moins de 10 ans;From 5 to less than 10 years;;;73.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Femme;Female;;;;;De 5 à moins de 10 ans;From 5 to less than 10 years;;;7.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Cadre;Managers;;;Homme;Male;;;;;De 10 à moins de 15 ans;From 10 to less than 15 years;;;4451.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Maîtrise;Supervisors;;;Femme;Female;;;;;De 10 à moins de 15 ans;From 10 to less than 15 years;;;1779.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Homme;Male;;;;;De 10 à moins de 15 ans;From 10 to less than 15 years;;;0.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Femme;Female;;;;;De 10 à moins de 15 ans;From 10 to less than 15 years;;;2.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;Femme;Female;;;;;De 10 à moins de 15 ans;From 10 to less than 15 years;;;0.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Cadre;Managers;;;Homme;Male;;;;;De 15 à moins de 20 ans;From 15 to less than 20 years;;;2058.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Homme;Male;;;;;De 20 à moins de 25 ans;From 20 to less than 25 years;;;0.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;Homme;Male;;;;;De 25 à moins de 30 ans;From 25 to less than 30 years;;;0.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;Femme;Female;;;;;De 25 à moins de 30 ans;From 25 to less than 30 years;;;1.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Cadre;Managers;;;Homme;Male;;;;;De 30 à moins de 35 ans;From 30 to less than 35 years;;;2311.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Homme;Male;;;;;De 30 à moins de 35 ans;From 30 to less than 35 years;;;0.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Cadre;Managers;;;Homme;Male;;;;;35 ans et plus;35 years and more;;;1400.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Maîtrise;Supervisors;;;Homme;Male;;;;;35 ans et plus;35 years and more;;;542.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Exécution;Operatives;;;Homme;Male;;;;;35 ans et plus;35 years and more;;;22.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Homme;Male;;;;;35 ans et plus;35 years and more;;;0.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Cadre;Managers;;;Femme;Female;;;;;35 ans et plus;35 years and more;;;0.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Exécution;Operatives;;;Femme;Female;;;;;35 ans et plus;35 years and more;;;0.0;nombre;number;§1.1.7
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Homme;Male;;;Française;French;;;;;11.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Femme;Female;;;Française;French;;;;;22.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Cadre;Managers;;;Femme;Female;;;Française;French;;;;;44.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Maîtrise;Supervisors;;;Femme;Female;;;Française;French;;;;;805.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Exécution;Operatives;;;Femme;Female;;;Française;French;;;;;652.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;;;Homme;Male;;;Etrangère;Foreigner;;;;;0.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Maîtrise;Supervisors;;;Femme;Female;;;Etrangère;Foreigner;;;;;93.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDD;Fixed-term non-statutory;Exécution;Operatives;;;Homme;Male;;;Etrangère;Foreigner;;;;;40.0;nombre;number;§1.1.8
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Maîtrise;Supervisors;GF 7 à 9;Maîtrise;Homme;Male;;;;;;;;;19539.0;nombre;number;§1.1.9
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;Maîtrise;Supervisors;Maîtrise;Supervisors;Homme;Male;;;;;;;;;11.0;nombre;number;§1.1.9
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Cadre;Managers;Cadres Supérieurs;Senior Managers;Femme;Female;;;;;;;;;165.0;nombre;number;§1.1.9
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;Cadre;Managers;Cadres;Managers;Femme;Female;;;;;;;;;9079.0;nombre;number;§1.1.9
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;;;;;Femme;Female;C;C;;;;;;;3846.0;nombre;number;§1.1.9bis
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;;;;;Homme;Male;D;D;;;;;;;5500.0;nombre;number;§1.1.9bis
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;;;;;Femme;Female;D;D;;;;;;;2353.0;nombre;number;§1.1.9bis
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;;;;;Femme;Female;H;H;;;;;;;1066.0;nombre;number;§1.1.9bis
2023;EDF SA;France;France;Effectif;Workforce;Statutaires;Statutory;;;;;Femme;Female;I;I;;;;;;;0.0;nombre;number;§1.1.9bis
2023;EDF SA;France;France;Effectif;Workforce;Non statutaires CDI;Permanent non-staturory;;;;;Femme;Female;Sans plage;No classification;;;;;;;361.0;nombre;number;§1.1.9bis
2023;EDF SA;France;France;Embauches de salariés de moins de 25 ans;Hires of Employees Under 25 Years Old;Statutaires;Statutory;Maîtrise;Supervisors;;;Femme;Female;;;;;;;;;81.0;nombre;number;§1.3.3
2023;EDF SA;France;France;Embauches de salariés de moins de 25 ans;Hires of Employees Under 25 Years Old;Statutaires;Statutory;Exécution;Operatives;;;Homme;Male;;;;;;;;;74.0;nombre;number;§1.3.3
2023;EDF SA;France;France;Embauches de salariés de moins de 25 ans;Hires of Employees Under 25 Years Old;Statutaires;Statutory;Exécution;Operatives;;;Femme;Female;;;;;;;;;19.0;nombre;number;§1.3.3
2023;EDF SA;France;France;Embauches de salariés de moins de 25 ans;Hires of Employees Under 25 Years Old;Non statutaires CDD;Fixed-term non-statutory;Maîtrise;Supervisors;;;Femme;Female;;;;;;;;;454.0;nombre;number;§1.3.3
